Metal,Site,Total energy (Ry),Total energy (kJ),Adsorption energy(kJ)
Pd,FCC,-6709.392,-1.46E-17,1.81E-20
Pd,HCP,-6709.316,-1.46E-17,1.81E-20
Pd,TOP,-6709.316,-1.46E-17,1.81E-20
Pd,BRIDGE,-6709.888,-1.46E-17,1.81E-20
PdAg23,FCC,-6775.54631,-1.48E-17,1.93E-20
PdAg23,HCP,-6775.37032,-1.48E-17,1.93E-20
PdAg23,BRIDGE,-6775.54631,-1.48E-17,1.93E-20
PdAg23,TOP,-6775.54631,-1.48E-17,1.93E-20
Pd70Au20Ag10,FCC,-7575.06569,-1.65E-17,3.92E-20
Pd70Au20Ag10,HCP,-7587.107654,-1.65E-17,3.89E-20
Pd70Au20Ag10,TOP,-7587.107654,-1.65E-17,3.89E-20
Pd70Au20Ag10,BRIDGE,-7587.107654,-1.65E-17,3.89E-20
Pd70Cu20Ag10,FCC,-6016.143691,-1.31E-17,2.39E-20
Pd70Cu20Ag10,HCP,-6017.272466,-1.31E-17,2.39E-20
Pd70Cu20Ag10,TOP,-6017.272466,-1.31E-17,2.39E-20
Pd70Cu20Ag10,BRIDGE,-6028.176642,-1.31E-17,2.37E-20
Pd70Au20Cu10,FCC,-8091.945166,-1.76E-17,2.17E-20
Pd70Au20Cu10,HCP,-8091.945166,-1.76E-17,2.17E-20
Pd70Au20Cu10,TOP,-8001.187664,-1.74E-17,2.37E-20
Pd70Au20Cu10,BRIDGE,-8001.557724,-1.74E-17,2.37E-20
Pd70Au20Zr10,FCC,-8301.814886,-1.81E-17,2.12E-20
Pd70Au20Zr10,HCP,-8301.814886,-1.81E-17,2.12E-20
Pd70Au20Zr10,TOP,-8301.187664,-1.81E-17,2.13E-20
Pd70Au20Zr10,BRIDGE,-8301.966811,-1.81E-17,2.12E-20
Pd70Cu20Zr10,FCC,-6120.859664,-1.33E-17,1.95E-20
Pd70Cu20Zr10,HCP,-6120.795252,-1.33E-17,1.95E-20
Pd70Cu20Zr10,TOP,-6131.412562,-1.34E-17,1.93E-20
Pd70Cu20Zr10,BRIDGE,-6131.72706,-1.34E-17,1.93E-20
Pd70Zr20Ag10,FCC,-6231.785904,-1.36E-17,2.75E-20
Pd70Zr20Ag10,HCP,-6231.478878,-1.36E-17,2.75E-20
Pd70Zr20Ag10,TOP,-6231.72706,-1.36E-17,2.75E-20
Pd70Zr20Ag10,BRIDGE,-6231.128496,-1.36E-17,2.75E-20
Pd80Cu20,FCC,-6070.399915,-1.32E-17,2.17E-20
Pd80Cu20,HCP,-6066.67691,-1.32E-17,2.18E-20
Pd80Cu20,TOP,-6094.478878,-1.33E-17,2.12E-20
Pd80Cu20,BRIDGE,-6079.813839,-1.33E-17,2.15E-20
PdAu10,FCC,-7346.980749,-1.60E-17,2.37E-20
PdAu10,HCP,-7333.832808,-1.60E-17,2.39E-20
PdAu10,TOP,-7346.699544,-1.60E-17,2.37E-20
PdAu10,BRIDGE,-7346.980749,-1.60E-17,2.37E-20
PdAu20,FCC,-8239.069041,-1.80E-17,2.37E-20
PdAu20,HCP,-8225.891708,-1.79E-17,2.39E-20
PdAu20,TOP,-8238.785227,-1.80E-17,2.37E-20
PdAu20,BRIDGE,-8239.069041,-1.80E-17,2.37E-20
PdZr10,FCC,-6495.862343,-1.42E-17,2.17E-20
PdZr10,HCP,-6493.540161,-1.42E-17,2.18E-20
PdZr10,TOP,-6406.553929,-1.40E-17,2.37E-20
PdZr10,BRIDGE,-6406.922593,-1.40E-17,2.37E-20
PdZr20,FCC,-6347.754111,-1.38E-17,2.39E-20
PdZr20,HCP,-6345.409403,-1.38E-17,2.40E-20
PdZr20,TOP,-6358.518328,-1.39E-17,2.37E-20
PdZr20,BRIDGE,-6358.884286,-1.39E-17,2.37E-20
Pd60Cu40,FCC,-5704.226399,-1.24E-17,1.93E-20
Pd60Cu40,HCP,-5704.266399,-1.24E-17,1.93E-20
Pd60Cu40,TOP,-5704.253828,-1.24E-17,1.93E-20
Pd60Cu40,BRIDGE,-5704.291699,-1.24E-17,1.93E-20
